2.043209989094596946e+00,8.954688600684688637e+00,5.952934844075060461e+00
1.534800249101366809e+00,9.469678203512261305e+00,6.430041386034869966e+00
2.094327209221354735e+00,8.919707974561221775e+00,5.831574043454738288e+00
2.078409909291621727e+00,8.934688594150683727e+00,5.835948910358814246e+00
2.103481703706856276e+00,8.953124086239611756e+00,5.821842503910801270e+00
2.149801309988311093e+00,8.897487571277361340e+00,5.791193842513941092e+00
2.128720166234663314e+00,8.904892863441961737e+00,5.755965196060028433e+00
2.113979007883715511e+00,8.909820345718410195e+00,5.770962244604325164e+00
1.759374018684828123e+00,9.203706034394594226e+00,6.218306770166864617e+00
2.076769358208012672e+00,8.896798485181196980e+00,5.887616105814872824e+00
2.088247413260444052e+00,8.936752175900341655e+00,5.793889481565684285e+00
2.147213796715057743e+00,8.905579510811636013e+00,5.733835997633083714e+00
2.087784509803133570e+00,8.937065367508216340e+00,5.794459497062869779e+00
2.091773299990559387e+00,8.933503764400178682e+00,5.789803879809525711e+00
2.091686030817743180e+00,8.933696771830250682e+00,5.789833669841909725e+00
2.088608236917115946e+00,8.936517391067388516e+00,5.793316024422327182e+00
2.085029363963009530e+00,8.939690742829025538e+00,5.797501401195234827e+00
2.096440129082778991e+00,8.929539171989551605e+00,5.784267107166611410e+00
2.094254700189796647e+00,8.931457529804765372e+00,5.786762749127779770e+00
1.802376661879916853e+00,9.242481246048932064e+00,6.163199975577437151e+00
2.095717623469089741e+00,8.930108172293959257e+00,5.785069046099891921e+00
2.078883570949261461e+00,8.944823931524622296e+00,5.804911107925971869e+00
2.087129909877500467e+00,8.937730730100216903e+00,5.795001664504822791e+00
2.098126839921542697e+00,8.927880779141824874e+00,5.782367027872762577e+00
2.080291425846747089e+00,8.943868067739675354e+00,5.803040395612970137e+00
2.084627104693007826e+00,8.939954365937943237e+00,5.797920898756359520e+00
2.097336418810427539e+00,8.928484310058092177e+00,5.783297705847266101e+00
2.087961519892886919e+00,8.936995317726443844e+00,5.793995574146380889e+00
2.086571659753187369e+00,8.938361873633761334e+00,5.795508267668791902e+00
2.083652219092985369e+00,8.940868686504382268e+00,5.798984378832260589e+00
2.084516469615472101e+00,8.939879971327449937e+00,5.798060005765596436e+00
2.099261794137077697e+00,8.926997685378070813e+00,5.780901766134964426e+00
2.083363133328388628e+00,8.940917535729932197e+00,5.799413544234818474e+00
2.075878552402452115e+00,8.947774372065346427e+00,5.808241458623885300e+00
2.078139734784401949e+00,8.945700715276458936e+00,5.805548263210785542e+00
2.082921994244836927e+00,8.941514392408477008e+00,5.799771284803185267e+00
2.088050628930927743e+00,8.936833757267381273e+00,5.793793528601598020e+00
2.092100692375618909e+00,8.933320700766236300e+00,5.789033803057077598e+00
2.082533659514003155e+00,8.941836258249894698e+00,5.800229916142720654e+00
