9.948571093732120119e+00,5.073818973577187919e+00
5.453236754589640967e+00,8.656999065792614800e+00
5.216950572547513154e+00,8.796516339961083730e+00
5.975308873655762909e+00,8.345814164605252827e+00
3.983146202061296215e+00,9.763455546114895967e+00
9.213081032235404422e+00,5.693963396596613435e+00
9.580701790759007963e+00,5.324849659635614074e+00
4.861294439969711334e+00,9.008988450569590967e+00
9.899519849330157939e+00,4.928541298794638870e+00
4.758829402293529576e+00,9.048342846939798179e+00
7.207189141879096539e+00,7.488526397087933439e+00
5.752174971395503711e+00,8.602577570824292863e+00
7.306203302800797772e+00,7.332115982674430654e+00
5.972310691584612030e+00,8.178146863043320280e+00
9.291171877877012264e+00,5.893115702808521483e+00
7.168742250012053674e+00,7.600513458749213136e+00
5.862049563627000914e+00,8.198633714298114938e+00
3.954666819730323635e+00,9.538089688397855426e+00
3.696696098884841852e+00,9.725012867001057160e+00
8.103558398269527174e+00,6.563725770822703254e+00
9.946240067459793721e+00,4.676327585895141858e+00
9.944373674211043124e+00,4.677487568702986209e+00
9.946751097224849403e+00,4.674040015079239829e+00
9.942883773583421458e+00,4.677109006372333511e+00
9.937691740003426588e+00,4.682976252273739703e+00
9.941901765515675393e+00,4.677335584654363387e+00
9.940706889813341718e+00,4.678328178680647653e+00
7.092122090395420742e+00,7.330600426537202452e+00
9.938404556050052463e+00,4.680690163841820350e+00
9.932334960662323908e+00,4.687410187185065524e+00
9.933898005286224020e+00,4.685541005388182967e+00
9.940539007252448656e+00,4.677744544037431673e+00
9.947438776541632777e+00,4.669476664205210348e+00
9.939948385010698217e+00,4.677934200990300440e+00
9.936056535976243609e+00,4.682004028940719209e+00
9.941654766208674943e+00,4.675474717524993551e+00
9.931762484352997689e+00,4.686615192691682807e+00
9.935849534907653435e+00,4.681188319675781528e+00
9.926071754982913831e+00,4.692027898976859568e+00
9.946416571243970495e+00,4.667947112880618477e+00
9.930792983514745487e+00,4.685223123081802221e+00
9.924947090922405124e+00,4.692003292684258753e+00
9.936908239099750517e+00,4.677849205174252845e+00
9.942427387267327887e+00,4.671128659753816414e+00
9.941571369295918004e+00,4.671911063396245289e+00
9.927478095846675288e+00,4.688036362777176613e+00
9.919328960675819928e+00,4.697758099975650303e+00
9.921389993641421157e+00,4.695249130349423261e+00
9.942635341095286350e+00,4.669599403119520709e+00
9.939386747998266713e+00,4.673154656779398231e+00
9.932507991015960158e+00,4.680980503415375082e+00
9.924221406449099447e+00,4.690737980862844658e+00
9.930686013951945057e+00,4.682493816124855712e+00
9.942938617321498640e+00,4.668082872373740422e+00
9.940058864540960215e+00,4.670809614067260362e+00
9.922306747770134550e+00,4.691350299971547066e+00
9.925491824978909250e+00,4.687453901104308152e+00
9.944438077012407007e+00,4.665290624671393438e+00
9.943899834709384322e+00,4.665838814823864311e+00
9.936244233849180318e+00,4.674670531507012505e+00
9.933880837998508184e+00,4.677346996835727744e+00
9.933339457497604386e+00,4.677967508808231756e+00
9.929961667258236702e+00,4.681918052506579109e+00
9.914551357059551151e+00,4.700310411751892126e+00
9.920183685083770797e+00,4.693419876770712484e+00
9.922381363392684506e+00,4.690747263767128139e+00
9.927259279906696321e+00,4.684311602858851842e+00
9.924694972267690929e+00,4.686709119776760524e+00
9.936113743658818720e+00,4.673158002963310409e+00
9.919685094361032185e+00,4.692388826390399892e+00
9.915414614371441004e+00,4.697462510645684652e+00
9.932392300280376674e+00,4.677122545917738350e+00
9.942594933041174698e+00,4.665028860275500122e+00
9.943486893698862517e+00,4.663879509239133192e+00
9.904883870951692870e+00,4.709270449486422372e+00
9.923808005374894492e+00,4.686020703500634710e+00
9.918103668287107766e+00,4.692853874921802060e+00
9.913177061730612749e+00,4.698456344551125596e+00
9.939602704338476258e+00,4.666923709098690587e+00
9.930057419493390825e+00,4.677933820005837795e+00
9.928689822065628334e+00,4.679394924670225109e+00
